ID,品名,購入パック数,1パック入数,使用数,余り,税込パック単価,購入小計,価格区分,URL,注意
F01,MISUMI NFSL6-3030-400 4本組,1,4,4,0,1952,1952,observed,https://www.amazon.co.jp/dp/B0DKF2CCW3,切断不要。左右外周2本と内部2本。
F02,MISUMI NFSL6-3030-300 4本組,1,4,2,2,1467,1467,observed,https://www.amazon.co.jp/dp/B0DKDZ8G9G,切断不要。前後各1本、予備2本も購入費に含む。
F03,3030用28mmアングル20個 / M6溝ナット40 / M6x12ボルト40 / ワッシャ40 セット,1,20,8,12,2580,2580,observed,https://www.amazon.co.jp/dp/B0D4F38VX2,アングル8個使用。M6ナットは接合16、ガセット8、車軸板8、キャスター板4、トレイ4で40個使用。溝8用だがミスミ6シリーズへの実嵌合は受入確認。
D01,DFRobot FIT0185 / 12V 83rpm 131:1 エンコーダ付き,2,1,2,0,3019.5,6039.0,observed,https://www.digikey.jp/ja/products/detail/dfrobot/FIT0185/6588527,税別2745円。在庫106表示。45kgfcmは拘束トルクで連続値ではない。送料を別に計上。
D02,100mm金属ホイール＋ネオプレンタイヤ / 穴8mm / 幅25.4mm,2,1,2,0,2605,5210,observed,https://www.amazon.co.jp/dp/B0B23WBLBK,約300g/個。ハブなし。PCD24の取付穴加工を別途見込む。許容輪荷重は非公表。
D03,uxcell 8mmフランジハブ H13 / 胴16 / フランジ32 / PCD24 2個組,1,2,2,0,1341,1341,observed,https://www.amazon.co.jp/dp/B07PTPFX35,M4止めねじ2本/個付属。車輪側4穴は既存穴に合うと仮定せず現物確認して加工。
D04,uxcell C45クロムメッキ軸 8x100mm 2本組,1,2,2,0,828,828,observed,https://www.amazon.co.jp/dp/B0G3Y7811K,切断不要。止めねじ部の浅い平面加工を見込む。直径公差は受入確認。
D05,uxcell KP08 軸受 8mm 2個組,2,2,4,0,849,1698,observed,https://www.amazon.co.jp/dp/B0DSKB5QQN,左右2個ずつ。L55、取付ピッチ42、軸心高15をモデル化。受入時に高さ・足厚を確認。
D06,uxcell ジョーカップリング 6→8mm / D20 L25,2,1,2,0,999,1998,observed,https://www.amazon.co.jp/dp/B0CWNQJWPH,軸端間に2mmの隙間。許容連続トルク・許容偏心は非公表、負荷試験が必要。
D07,PATIKIL 分割軸カラー 内8 外25 幅8 4個組,1,4,4,0,923,923,observed,https://www.amazon.co.jp/dp/B0DDXP5HL6,外側KP08の両側で軸を保持。実機では軸受を締め付けないよう軸方向隙間を調整。
C01,ハンマーキャスター 420G-R50,1,1,1,0,373,373,observed,https://www.tanaka-km.com/view/item/000000036665,径50 幅20 高さ65、座59x47、穴ピッチ46x35、トレール16、許容荷重300N。個人購入可。本州送料650円別。
P01,A5052板 t4 200x200mm 素材予算,1,1,1,0,1500,1500,allowance,,軸受支持板84x108を2枚（回転して配置）、キャスター板80x170を1枚切り出す。切りしろを含め200角に配置可。販売価格・加工見積は未取得。
P02,アルミ不等辺アングル 40x20x3 L200mm 素材予算,1,1,1,0,600,600,allowance,,L50を2個切り出してモーター台。内Rを含む実断面と取付孔位置は要確認。切断費は加工枠へ。
P03,A5052板 t3 150x150mm 素材予算,1,1,1,0,500,500,allowance,,60x60直角三角ガセット4枚。
P04,A5052板 t2 200x200mm 素材予算,1,1,1,0,800,800,allowance,,200x180機器トレイ1枚。
P05,アルミパイプ 外12 内7 長500mm 素材・スペーサ予算,1,1,1,0,700,700,allowance,,L40を8個、L6を4個。合計344mm、切りしろを含め500mm以内。入手時の内径違いは再確認。
H01,追加ねじ・ナット・ワッシャ類 一式予算,1,1,1,0,1800,1800,allowance,,必要数量はfasteners.csv。販売単位の余りも含めた予算。セット付属M6部品と二重計上しない。
