部位,規格,使用数,調達区分,備考
フレーム8箇所,M6x12 六角穴ボルト,16,3030金具セット,ワッシャ16と溝ナット16
四隅ガセット,M6x12 六角穴ボルト,8,3030金具セット,ワッシャ8と溝ナット8
車輪支持板,M6x50 皿ボルト,8,追加ねじ予算,板t4+スペーサ40+溝への突出6mm
キャスター支持板,M6x16 六角穴ボルト,4,追加ねじ予算,板t4+スペーサ6+溝への突出6mm
キャスター金具,M6x16 六角穴ボルト,4,追加ねじ予算,M6ナット4とワッシャ4
機器トレイ,M6x10 六角穴ボルト,4,追加ねじ予算,セットのワッシャ4と溝ナット4
軸受,M4x16 六角穴ボルト,8,追加ねじ予算,M4ナット8とワッシャ16
モーターアングル足,M4x14 六角穴ボルト,4,追加ねじ予算,M4ナット4とワッシャ8
モーター前面,M3x5 六角穴ボルト,6,追加ねじ予算,台座t3でねじ込み2mm 最大3mmを超えない
車輪とハブ,M3x10 ボルト,8,追加ねじ予算,M3ナット8とワッシャ16 現物ウェブ厚で再確認
フレーム溝ナット,M6 6シリーズ溝8対応,40,3030金具セット,上記の合計16+8+8+4+4 全40個使用
フレーム保有予備,M6x12 六角穴ボルト,16,3030金具セット,購入40本から使用24本を差引
