specification,installed_quantity,included_in_HBLFSN6_SET,additional_installed_quantity,model_object_names
HNTT6-6 slot nut,44,16,28,SlotNut_Caster_0;SlotNut_Caster_1;SlotNut_Caster_2;SlotNut_Caster_3;SlotNut_Cradle_0;SlotNut_Cradle_1;SlotNut_Cradle_2;SlotNut_Cradle_3;SlotNut_Electronics_0;SlotNut_Electronics_1;SlotNut_Electronics_2;SlotNut_Electronics_3;SlotNut_FrontDeck_0;SlotNut_FrontDeck_1;SlotNut_FrontDeck_2;SlotNut_FrontDeck_3;SlotNut_Gusset_110;SlotNut_Gusset_111;SlotNut_Gusset_1N10;SlotNut_Gusset_1N11;SlotNut_Gusset_N110;SlotNut_Gusset_N111;SlotNut_Gusset_N1N10;SlotNut_Gusset_N1N11;SlotNut_JointA_N120;SlotNut_JointA_N50;SlotNut_JointA_NN120;SlotNut_JointA_NN50;SlotNut_JointA_P120;SlotNut_JointA_P50;SlotNut_JointA_PN120;SlotNut_JointA_PN50;SlotNut_JointB_N120;SlotNut_JointB_N50;SlotNut_JointB_NN120;SlotNut_JointB_NN50;SlotNut_JointB_P120;SlotNut_JointB_P50;SlotNut_JointB_PN120;SlotNut_JointB_PN50;SlotNut_UpperMount_120L;SlotNut_UpperMount_120R;SlotNut_UpperMount_60L;SlotNut_UpperMount_60R
M2.5x10 socket screw,6,0,6,DDSMFaceBolt_0L;DDSMFaceBolt_0R;DDSMFaceBolt_1L;DDSMFaceBolt_1R;DDSMFaceBolt_2L;DDSMFaceBolt_2R
M4 plain hex nut,12,0,12,Nut_AngleJoint_110105L;Nut_AngleJoint_110105R;Nut_AngleJoint_11095L;Nut_AngleJoint_11095R;Nut_AngleJoint_70105L;Nut_AngleJoint_70105R;Nut_AngleJoint_7095L;Nut_AngleJoint_7095R;Nut_KeyPlateBolt_110L;Nut_KeyPlateBolt_110R;Nut_KeyPlateBolt_70L;Nut_KeyPlateBolt_70R
M4 washer OD9 ID4.5 t0.8,12,0,12,Washer_AngleJoint110105L;Washer_AngleJoint110105R;Washer_AngleJoint11095L;Washer_AngleJoint11095R;Washer_AngleJoint70105L;Washer_AngleJoint70105R;Washer_AngleJoint7095L;Washer_AngleJoint7095R;Washer_Key110L;Washer_Key110R;Washer_Key70L;Washer_Key70R
M4x16 socket screw,12,0,12,AngleJoint_110105L;AngleJoint_110105R;AngleJoint_11095L;AngleJoint_11095R;AngleJoint_70105L;AngleJoint_70105R;AngleJoint_7095L;AngleJoint_7095R;KeyPlateBolt_110L;KeyPlateBolt_110R;KeyPlateBolt_70L;KeyPlateBolt_70R
M6 large washer OD18 ID6.6 t1.6,12,0,12,LargeWasher_Cradle0;LargeWasher_Cradle1;LargeWasher_Cradle2;LargeWasher_Cradle3;LargeWasher_Electronics0;LargeWasher_Electronics1;LargeWasher_Electronics2;LargeWasher_Electronics3;LargeWasher_Front0;LargeWasher_Front1;LargeWasher_Front2;LargeWasher_Front3
M6 plain hex nut,4,0,4,Nut_CasterBolt_0;Nut_CasterBolt_1;Nut_CasterBolt_2;Nut_CasterBolt_3
M6 washer OD13 ID6.6 t1.6,12,0,12,Washer_CasterFrame0;Washer_CasterFrame1;Washer_CasterFrame2;Washer_CasterFrame3;Washer_Gusset110;Washer_Gusset111;Washer_Gusset1N10;Washer_Gusset1N11;Washer_GussetN110;Washer_GussetN111;Washer_GussetN1N10;Washer_GussetN1N11
M6x10 socket screw,8,0,8,ElectronicsBolt_0;ElectronicsBolt_1;ElectronicsBolt_2;ElectronicsBolt_3;FrontDeckBolt_0;FrontDeckBolt_1;FrontDeckBolt_2;FrontDeckBolt_3
M6x12 socket screw,36,16,20,CasterFrameBolt_0;CasterFrameBolt_1;CasterFrameBolt_2;CasterFrameBolt_3;CradleBolt_0;CradleBolt_1;CradleBolt_2;CradleBolt_3;GussetBolt_110;GussetBolt_111;GussetBolt_1N10;GussetBolt_1N11;GussetBolt_N110;GussetBolt_N111;GussetBolt_N1N10;GussetBolt_N1N11;JointA_N120;JointA_N50;JointA_NN120;JointA_NN50;JointA_P120;JointA_P50;JointA_PN120;JointA_PN50;JointB_N120;JointB_N50;JointB_NN120;JointB_NN50;JointB_P120;JointB_P50;JointB_PN120;JointB_PN50;UpperFrameBolt_120L;UpperFrameBolt_120R;UpperFrameBolt_60L;UpperFrameBolt_60R
M6x16 socket screw,4,0,4,CasterBolt_0;CasterBolt_1;CasterBolt_2;CasterBolt_3
