ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
F01,フレーム,3030フレーム 400mm,MISUMI NFSL6-3030-400,4,本,4,4本組×1,1,0,1952.0,1952,JPY,過去価格の引継ぎ,型式選定済・価格引継ぎ,Amazon,https://www.amazon.co.jp/dp/B0DKF2CCW3,4,Amazonの現価格は再取得できず。余り0本。
F02,フレーム,3030フレーム 300mm,MISUMI NFSL6-3030-300,2,本,4,4本組×1,1,2,1467.0,1467,JPY,過去価格の引継ぎ,型式選定済・価格引継ぎ,Amazon,https://www.amazon.co.jp/dp/B0DKDZ8G9G,2,余り2本も購入費に含む。Amazonの現価格は再取得できず。
F03,フレーム,純正接合ブラケットセット,HBLFSN6-SET：本体＋CBM6-12×2＋HNTT6-6×2,8,組,8,1組×8,8,0,192.5,1540.0,JPY,カタログ参考,型式選定済・個人購入経路未確定,MISUMI仕様参照／購入先未確定,https://jp.misumi-ec.com/vona2/detail/110300442340/,40,合計M6×12と溝ナット各16個を同梱扱い。リンクは仕様参照で購入経路ではない。
F04,フレーム,追加溝ナット・基礎部分,HNTT6-6,28,個,,販売単位未確認・必要28個,,,,1200,JPY,予算枠,型式選定済・個人購入経路未確定,MISUMI仕様参照／購入先未確定,https://jp.misumi-ec.com/vona2/detail/110302610850/,28,車体合計50個＝SET付属16＋この28＋荷台6。荷台6個はDECK_fasteners_and_extra_slotnutsに計上。
P03,フレーム,ガセット用アルミ板素材,A5052 t3、150×150mm相当,1,枚,,素材販売寸法・パック未確定,,,,500,JPY,予算枠,素材予算,,,4,60×60直角三角ガセット4枚を製作。加工費・工具代別。
C01,駆動・支持,自在キャスター,ハンマー420G-R50、径50・取付高65mm,1,個,1,1個×1,1,0,373.0,373,JPY,過去価格の引継ぎ,型式選定済,タナカ金物,https://www.tanaka-km.com/view/item/000000036665,5,キャスター構成部5形状を完成品1個として購入。送料S02。
P01,駆動・支持,キャスター取付板の素材,A5052 t4、完成寸法80×170mm,1,枚,,切出し素材の販売単位未確定,,,,900,JPY,予算枠,素材予算,,,1,板1枚の材料仮枠。穴加工・面取りは自加工、外注費未見積。
D01,駆動・支持,ダイレクトドライブモーター,M0601C_111、ドライバ・エンコーダ内蔵,2,個,2,本体1個×2（想定）,2,0,7000.0,14000,JPY,ユーザー仮枠,型式固定・販売店SKU未確定,Taobao／販売店未確定,,2,7000円/個はユーザー提示の仮枠。タイヤ・付属線・輸入費は未照合。
D02,駆動・支持,タイヤ・カバーキット,DDT-M0601C-TIRE、φ100.7×43mm,2,キット,2,1キット×2,2,0,4620.0,9240,JPY,販売表示・条件付き,型式選定済,スイッチサイエンス,https://www.switch-science.com/products/9203,4,1キット＝タイヤ1＋カバー1＋ねじ3。モーター固定用M2.5×12とは別。Taobao付属一式が確認できた場合のみ別購入を見直す。
Q01,駆動・支持,A6-R1専用モーター金具,A6061-T6、90×30×34mm、左右同形,2,個,2,同形2個で1ロット,1,0,75.02,75.02,USD,実サイト自動見積,CNC自動見積・手動図面審査前,JLCCNC,https://jlccnc.com/jp/cnc-machining-quote,2,STEP/PDFはA6-R1を使用。75.02USDは2個分。送料はS08。
