ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
ELEC_U1,電装候補,手持ちRaspberry Pi Pico,Raspberry Pi Pico系列、所有確認済み。型番・ヘッダーピン有無は未確認。,1,個,0,本体を手持ち流用,0,0,0,0,JPY,2026-09-23 ユーザー所有申告,後工程,手持ち,,0,手持ち品として保持。初回USB–RS485接続には不要。ローカル制御が必要になった時に使用。
U01,未選定・未計上,完成済みの電池保護・全負荷低電圧遮断,BL1860Bとの保護適合・復帰条件を確認する,,,,,,,,,JPY,未見積,条件付き,,,,電池・アダプターの既存保護を確認し、不足があれば追加。未確認のまま不要とは断定しない。
U09,未選定・未計上,駆動遮断・コイル保護の完成済みユニット,非常停止による独立遮断、実DC負荷・突入へ適合,,,,,,,,,JPY,未見積,条件付き,,,,非常停止ボタンのDC接点で直接切れない場合のみリレー1個とソケット／完成品を選定。
U10,未選定・未計上,手動再許可・独立監視の完成済みユニット,故障・復電後の自動再始動防止と通信／制御停止監視,,,,,,,,,JPY,未見積,初回不採用,,,,専用再許可回路・独立監視ユニットは初回必須にしない。
U11,未選定・未計上,回生吸収・逆流保護の完成済みユニット,M0601C_111・電池・遮断構成に適合,,,,,,,,,JPY,未見積,条件付き,,,,減速・遮断時の電源適合性を確認し、必要な場合だけ対策する。旧自作クランプを採用しない。
U12,未選定・未計上,電圧・電流・温度監視の完成済みモジュール,車載監視用、測定レンジと接続方式未選定,,,,,,,,,JPY,未見積,後工程,,,,車載の追加監視センサー一式を先に購入しない。
U14,未選定・未計上,放熱固定具・ガード・絶縁材,回生抵抗と電源回路用,,,,,,,,,JPY,未見積,条件付き,,,,回生抵抗など発熱部品を実際に採用する場合のみ。端子絶縁はU15に含む。
U19,未選定・未計上,自律移動用LiDAR・IMU・カメラ等,後工程の自己位置推定・障害物検出,,,,,,,,,JPY,未見積,後工程,,,,最初は手動走行。自律移動に着手する際に選定。
ELEC_ARM,D6.6 後方操作部,手動ARMボタン（黒）,amon3212、自動戻りNO、取付穴φ12、板厚1〜5mm,1,個,1,1個/購入単位,1,0,835,835,JPY,2026-09-23 Amazon実商品ページ、税込,初回不採用,Amazon掲載・Amazon発送,https://www.amazon.co.jp/dp/B075SQ41JN,,専用ARM回路と追加ボタンを設けない。
ELEC_MAIN,D6.6 後方操作部,全電源の主スイッチ,amon3214、ON/OFF、DC24V10A、取付穴φ12、板厚1〜4mm,1,個,1,1個/購入単位,1,0,621,621,JPY,2026-09-23 Amazon実商品ページ、税込,初回不採用,Amazon掲載・Amazon発送,https://www.amazon.co.jp/dp/B075SW22KP,,非常停止用遮断と着脱コネクタに加えた別の主スイッチを必須にしない。
U21,未選定・未計上,制御系の完成済みDC/DC・給電ケーブル,搭載モジュール決定後に入出力・端子を確定,,,,,,,,,JPY,未見積,条件付き,,,,USB給電で不足する機器やリレーコイルを採用する場合のみ。
U23,未選定・未計上,必要なハーネス製作・組立検査費,既製配線で成立しない部分のみ、実見積で比較,,,,,,,,,JPY,未見積,条件付き,,,,既製配線で接続できない部分が判明した場合のみ加工費を調べる。
