ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
ELEC_S1,電装候補,非常停止スイッチ,IDEC XA1E-BV302R／2NC、φ16.2mm取付,1,個,1,1個×1,1,0,3153,3153,JPY,2026-09-23 Amazon商品ページ、税込3153円,回路候補・実装前,Amazon.co.jp（販売・発送Amazon）,https://www.amazon.co.jp/dp/B077Y8DN8G,0,同じIDEC XA1E-BV302Rの購入先を変更し145円減。Amazon発送まとめ買い3500円以上の無料配送表示を確認。個別のPrime会員適用・決済送料は未確認。後方操作部の現行配置はcontrol-layout参照。
ELEC_K1_K2,電装候補,駆動電源遮断リレー,Omron G5LE-1 DC5／DC5Vコイル、NO接点を2個直列,2,個,2,1個×2,2,0,385.0,770,JPY,販売表示・条件付き,回路候補・実装前,,https://jp.rs-online.com/web/p/power-relays/0369466,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U2,電装候補,外部ウォッチドッグIC,CD74HC123E／再トリガ型ハートビート監視,1,個,1,1個×1,1,0,140.0,140,JPY,販売表示・条件付き,回路候補・実装前,,https://eleshop.jp/shop/g/gT11488/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U3,電装候補,手動再始動ラッチIC,TC74HC74AP／ARM押下エッジで許可,1,個,1,1個×1,1,0,33.0,33,JPY,販売表示・条件付き,回路候補・実装前,,https://eleshop.jp/shop/g/gT11476/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_PS1,電装候補,監視回路用DC/DC,M78AR05-1／5V 1A、主計算機用とは別,1,個,1,1個×1,1,0,850.0,850,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g113536/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U4,電装候補,RS485トランシーバIC,MAX3485ED (HTC)／3.3V、IC単体,1,個,1,1個×1,1,0,70.0,70,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116211/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_RDUMP,電装候補,回生吸収抵抗,ARCOL HS50 22R J／22Ω 50W、放熱条件付き,1,個,1,1個×1,1,0,1033.0,1033,JPY,販売表示・条件付き,回路候補・実装前,,https://www.monotaro.com/g/02255191/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U5,電装候補,クランプ比較器,LM393GN／バス過電圧検出,1,個,1,1個×1,1,0,30.0,30,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116987/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_U6,電装候補,クランプ基準電圧IC,TL431A (HTC)／基準2.495V、調整必要,1,個,1,1個×1,1,0,20.0,20,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g112018/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_QCLAMP,電装候補,クランプMOSFET,2SK2232／抵抗のON/OFFスイッチ,1,個,1,1個×1,1,0,100.0,100,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g102414/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_PS2,電装候補,クランプ制御用レギュレータ,LM78L12／12V、モーターバスから給電,1,個,1,1個×1,1,0,20.0,20,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g113464/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
ELEC_D0,電装候補,電池への逆流防止ダイオード,SBM1060LSS／60V 10A、10個入り,1,個,10,10個入り×1,1,9,300.0,300,JPY,販売表示・条件付き,回路候補・実装前,,https://akizukidenshi.com/catalog/g/g116378/,0,価格記録は2026-09-21。完成した回路BOMではなく、周辺部品は未選定表に記載。
