specification,installed_quantity,included_in_sets,additional_needed,budget_ids,note,cad_object_names
2.7x5x0.5 steel plain washer,6,0,6,MW,FW-2505-05EBを10枚購入予定・6枚使用・4枚余り。,MotorSeatWasher_0L;MotorSeatWasher_1L;MotorSeatWasher_2L;MotorSeatWasher_0R;MotorSeatWasher_1R;MotorSeatWasher_2R
HNTT6-6 slot nut,50,16,34,"DECK_fasteners_and_extra_slotnuts, F03, F04",50個＝接合SET16＋基礎追加28＋荷台6。追加購入は合計34個。,SlotNut_JointA_NN120;SlotNut_JointB_NN120;SlotNut_JointA_NN50;SlotNut_JointB_NN50;SlotNut_JointA_N50;SlotNut_JointB_N50;SlotNut_JointA_N120;SlotNut_JointB_N120;SlotNut_Gusset_N1N10;SlotNut_Gusset_N1N11;SlotNut_Gusset_N110;SlotNut_Gusset_N111;SlotNut_JointA_PN120;SlotNut_JointB_PN120;SlotNut_JointA_PN50;SlotNut_JointB_PN50;SlotNut_JointA_P50;SlotNut_JointB_P50;SlotNut_JointA_P120;SlotNut_JointB_P120;SlotNut_Gusset_1N10;SlotNut_Gusset_1N11;SlotNut_Gusset_110;SlotNut_Gusset_111;SlotNut_Mount_52p5L;SlotNut_Mount_127p5L;SlotNut_Mount_52p5R;SlotNut_Mount_127p5R;SlotNut_Caster_0;SlotNut_Caster_1;SlotNut_Caster_2;SlotNut_Caster_3;SlotNut_Cradle_0;SlotNut_Cradle_1;SlotNut_Cradle_2;SlotNut_Cradle_3;SlotNut_Electronics_0;SlotNut_Electronics_1;SlotNut_Electronics_2;SlotNut_Electronics_3;SlotNut_FrontDeck_0;SlotNut_FrontDeck_1;SlotNut_FrontDeck_2;SlotNut_FrontDeck_3;SlotNut_CargoDeck0;SlotNut_CargoDeck1;SlotNut_CargoDeck2;SlotNut_CargoDeck3;SlotNut_CargoDeck4;SlotNut_CargoDeck5
M2.5x12 socket screw,6,0,6,H01,WILCO FC-2512（12.9）候補。タイヤキットの付属ねじとは別。,MotorFaceBolt_0L;MotorFaceBolt_1L;MotorFaceBolt_2L;MotorFaceBolt_0R;MotorFaceBolt_1R;MotorFaceBolt_2R
M3 plain hex nut,4,0,4,FIXTURE_HARDWARE,価格は親行に含む。販売パック未確認。,FixtureM3NutL0;FixtureM3NutL1;FixtureM3NutR0;FixtureM3NutR1
M4 large washer 12x4.3x1,8,0,8,FIXTURE_HARDWARE,価格は親行に含む。販売パック未確認。,FixtureBottomWasherAdapterL0;FixtureBottomWasherAdapterL1;FixtureBottomWasherGuideL0;FixtureBottomWasherGuideL1;FixtureBottomWasherAdapterR0;FixtureBottomWasherAdapterR1;FixtureBottomWasherGuideR0;FixtureBottomWasherGuideR1
M4 plain hex nut,16,0,16,"DECK_fasteners_and_extra_slotnuts, FIXTURE_HARDWARE",価格は親行に含む。販売パック未確認。,CargoStopNut0;CargoStopNut1;CargoStopNut2;CargoStopNut3;CargoStopNut4;CargoStopNut5;CargoStopNut6;CargoStopNut7;FixtureM4NutAdapterL0;FixtureM4NutAdapterL1;FixtureM4NutGuideL0;FixtureM4NutGuideL1;FixtureM4NutAdapterR0;FixtureM4NutAdapterR1;FixtureM4NutGuideR0;FixtureM4NutGuideR1
M4 plain washer 9x4.3x0.8,48,0,48,"DECK_fasteners_and_extra_slotnuts, FIXTURE_HARDWARE",価格は親行に含む。販売パック未確認。,CargoStopWasher0;CargoStopWasher1;CargoStopWasher2;CargoStopWasher3;CargoStopWasher4;CargoStopWasher5;CargoStopWasher6;CargoStopWasher7;FixtureStackWasherAdapterL0_0;FixtureStackWasherAdapterL0_1;FixtureStackWasherAdapterL0_2;FixtureStackWasherAdapterL0_3;FixtureTopWasherAdapterL0;FixtureStackWasherAdapterL1_0;FixtureStackWasherAdapterL1_1;FixtureStackWasherAdapterL1_2;FixtureStackWasherAdapterL1_3;FixtureTopWasherAdapterL1;FixtureStackWasherGuideL0_0;FixtureStackWasherGuideL0_1;FixtureStackWasherGuideL0_2;FixtureStackWasherGuideL0_3;FixtureTopWasherGuideL0;FixtureStackWasherGuideL1_0;FixtureStackWasherGuideL1_1;FixtureStackWasherGuideL1_2;FixtureStackWasherGuideL1_3;FixtureTopWasherGuideL1;FixtureStackWasherAdapterR0_0;FixtureStackWasherAdapterR0_1;FixtureStackWasherAdapterR0_2;FixtureStackWasherAdapterR0_3;FixtureTopWasherAdapterR0;FixtureStackWasherAdapterR1_0;FixtureStackWasherAdapterR1_1;FixtureStackWasherAdapterR1_2;FixtureStackWasherAdapterR1_3;FixtureTopWasherAdapterR1;FixtureStackWasherGuideR0_0;FixtureStackWasherGuideR0_1;FixtureStackWasherGuideR0_2;FixtureStackWasherGuideR0_3;FixtureTopWasherGuideR0;FixtureStackWasherGuideR1_0;FixtureStackWasherGuideR1_1;FixtureStackWasherGuideR1_2;FixtureStackWasherGuideR1_3;FixtureTopWasherGuideR1
M4x16 socket screw,8,0,8,FIXTURE_HARDWARE,価格は親行に含む。販売パック未確認。,FixtureBoltAdapterL0;FixtureBoltAdapterL1;FixtureBoltGuideL0;FixtureBoltGuideL1;FixtureBoltAdapterR0;FixtureBoltAdapterR1;FixtureBoltGuideR0;FixtureBoltGuideR1
M4x25 socket screw,8,0,8,DECK_fasteners_and_extra_slotnuts,価格は親行に含む。販売パック未確認。,CargoStopBolt0;CargoStopBolt1;CargoStopBolt2;CargoStopBolt3;CargoStopBolt4;CargoStopBolt5;CargoStopBolt6;CargoStopBolt7
M6 JIS B1256 grade A washer 12x6.4x1.6,12,0,12,DECK_fasteners_and_extra_slotnuts,荷台M6ボルト1本につき2枚。厚さ選別用の予備は未定。,CargoDeckWasher0_0;CargoDeckWasher0_1;CargoDeckWasher1_0;CargoDeckWasher1_1;CargoDeckWasher2_0;CargoDeckWasher2_1;CargoDeckWasher3_0;CargoDeckWasher3_1;CargoDeckWasher4_0;CargoDeckWasher4_1;CargoDeckWasher5_0;CargoDeckWasher5_1
