ID,部品,仕様,使用数,計上済みJPY,条件
O-MON,7型HDMIモニター,外形200×135×30以内／0.60kg以下,1,,未選定・AmazonPrime条件未確認
O-PLATE,アルミ連結板,A5052 300×60×3／8通し穴,1,,加工済みで調達、実見積未取得
O-PLA,PLA支持・受け・前枠,4部品／材料2円g参考,4,770,支持材・失敗・工賃別
O-FRAME,フレーム固定,M6×18 4本＋HNTT6-6 4個＋OD18座金4枚,1,,追加購入、標準余剰と二重配分しない
O-BRIDGE,平板固定,M6×20 4本＋M6ナット4個＋OD12座金4枚,1,,価格未見積
O-TRAY,受け固定,M4×16 4本＋M4ナット4個＋OD9座金4枚,1,,価格未見積
O-BEZEL,前枠固定,M3×40 4本＋M3ナット4個,1,,価格未見積
O-CABLE,映像・USB・必要時の給電,接続端子と電力に適合する完成品,1,,長さ・端子・曲げ半径未確定
O-PAD,保護パッド・線保持,ケース縁用非導電パッド、結束等,1,,実品に合わせて決定
O-SHIP,送料,購入先・加工先確定後,1,,未見積
