ID,分類,部品名,仕様・型番,使用数,単位,購入予定数,購入単位,購入口数,余剰数,購入単位単価,明細金額,通貨,価格根拠,選定状況,購入先,URL,CAD形状数,備考
F01,フレーム,3030フレーム 400mm,MISUMI NFSL6-3030-400,4,本,4,4本組×1,1,0,1952.0,1952,JPY,過去価格の引継ぎ,型式選定済・価格引継ぎ,Amazon,https://www.amazon.co.jp/dp/B0DKF2CCW3,4,Amazonの現価格は再取得できず。余り0本。
F02,フレーム,3030フレーム 300mm,MISUMI NFSL6-3030-300,4,本,4,4本組×1,1,0,1467.0,1467,JPY,過去価格の引継ぎ,型式選定済・価格引継ぎ,Amazon,https://www.amazon.co.jp/dp/B0DKDZ8G9G,4,下段2本＋上段2本。購入予定4本セットを全て使用し、D5から追加購入なし。価格1467円は同日P1/D5の観測を継承。
C01,駆動・支持,自在キャスター,TRUSCO TYG-50、径50・取付高65mm、穴ピッチ46×35,1,個,1,1個×1,1,0,273.0,273,JPY,販売表示・条件付き,Amazon販売発送を確認・Prime会員条件の第一候補,Amazon.co.jp（販売・発送）,https://www.amazon.co.jp/dp/B0795CNFLR,5,完成品1個、税込273円。Amazon.co.jp販売・発送の出品。既存Prime会員の対象配送を条件に送料0円（公式配送規定）。会員としての最終注文画面は未確認。JAN4989999424980、公称高さ65mm・穴46×35を受入照合。
P01,駆動・支持,キャスター取付板の素材,A5052 t4、完成寸法80×170mm,1,枚,,切出し素材の販売単位未確定,,,,900,JPY,予算枠,素材予算,,,1,板1枚の材料仮枠。穴加工・面取りは自加工、外注費未見積。
D01,駆動・支持,ダイレクトドライブモーター,M0601C_111、ドライバ・エンコーダ内蔵,2,個,2,本体1個×2（想定）,2,0,7000.0,14000,JPY,ユーザー仮枠,型式固定・販売店SKU未確定,Taobao／販売店未確定,,2,7000円/個はユーザー提示の仮枠。タイヤ・付属線・輸入費は未照合。
D02,駆動・支持,タイヤ・カバーキット,DDT-M0601C-TIRE、φ100.7×43mm,2,キット,2,1キット×2,2,0,4620.0,9240,JPY,販売表示・条件付き,型式選定済,スイッチサイエンス,https://www.switch-science.com/products/9203,4,1キット＝タイヤ1＋カバー1＋ねじ3。モーター固定用M2.5×12とは別。Taobao付属一式が確認できた場合のみ別購入を見直す。
Q01,駆動・支持,A6-R1専用モーター金具,A6061-T6、90×30×34mm、左右同形,2,個,2,同形2個で1ロット,1,0,75.02,75.02,USD,実サイト自動見積,CNC自動見積・手動図面審査前,JLCCNC,https://jlccnc.com/jp/cnc-machining-quote,2,STEP/PDFはA6-R1を使用。75.02USDは2個分。送料はS08。
DECK_cargo_straps,荷台,荷物固定ベルト,E-Value BT-2520BK、25mm×2m,2,本,2,1本×2,2,0,393.0,786,JPY,販売表示・条件付き,型式候補,ホームセンターブリコ／Yahoo!,https://store.shopping.yahoo.co.jp/hcbrico/4977292226752.html,0,駆動伝達用ではなく荷物固定用。容器・敷板は積載重量に含める。
DECK_edge_protection_and_slack_retention,荷台,ベルト接触部の保護材・余長固定,パッド／エッジ保護／結束部材,1,式,,未選定,,,,300,JPY,予算枠,予算枠,,,0,長穴・金属角との接触保護、ベルト端の巻込み防止。
H02,電池・PLA,電池モジュール保持ベルト,E-Value BT-2520BK、幅25mm、長さ2mから調整,1,本,1,1本,1,0,393,393,JPY,2026-09-22 表示393円を再確認、同梱前提,品番選定、保持試験前,ホームセンターブリコ／Yahoo!,https://store.shopping.yahoo.co.jp/hcbrico/4977292226752.html,0,従来500円仮枠を置換。荷物用2本とは別に1本追加。送料は既存600円枠へ同梱する条件。余長は巻込みを防ぐ長さへ切断・固定。
